comments
God bless our President!  He is the best leader ever!
"I think relatively speaking, There is no forever enemy and friend. If America and Russia can work together to keep world peace. It is win win for all."
God bless America and our President along with our great military! #AmericaIsStrongAgain Don't like it I'll pack your bags for you.
"AZ female business women here, supporting our President!  God bless you and your family.  Keep up the great work."
"Holy crap! $400 million to Clinton campaign from Russia?  There's your collusion people! Immediately following, stay tune for the roaring left coverage! Going to be epic!"
"Two dictators, one shoots down planes, poisons his enemies, and one lies and accuses the media of fake news while letting russia meddle in our elections. Think about that."
"8 Years OBAMA WASTED, he DIVIDED  the country, ..."
"Hillary Clinton's comment on this meeting was, ""where does your loyalty lie. I would ask her the same thing when she sold uranium to Russia to enhance their nuclear program."
"My God, these reporters are absolutely disgusting!  All they want is to ruin this President. Understand this we the people elected him!  MAGA!!!! <f0><U+009F><U+0087><U+00BA><f0><U+009F><U+0087><U+00B8><f0><U+009F><U+0087><U+00BA><f0><U+009F><U+0087><U+00B8><f0><U+009F><U+0087><U+00BA><f0><U+009F><U+0087><U+00B8><f0><U+009F><U+0087><U+00BA><f0><U+009F><U+0087><U+00B8><f0><U+009F><U+0087><U+00BA><f0><U+009F><U+0087><U+00B8>"
Did I hear that correctly?? $400 MILLION was paid into the CLINTON campaign by someone in Russia. The contribution was legal but the way the money was earned was not??? Straight from Putin himself!!
These democrats claim to want peace yet are opposed to have an open dialogue with Russia... obviously never heard of keep your friends close and your enemies closer <f0><U+009F><U+0098><U+0092>
It speaks volumes that even adversaries like Kim and Putin show more respect to our president than democrats in America do.
"This President has represented America very well, in the face of unparalleled and relentless obstruction by both American and world order forces determined to undermine him at every single turn."
#walkaway forever.  It’s spreading like wildfire. <U+2764><U+FE0F><U+2764><U+FE0F><U+2764><U+FE0F><U+2764><U+FE0F><U+2764><U+FE0F><f0><U+009F><U+0087><U+00BA><f0><U+009F><U+0087><U+00B8><f0><U+009F><U+0087><U+00BA><f0><U+009F><U+0087><U+00B8><f0><U+009F><U+0087><U+00BA><f0><U+009F><U+0087><U+00B8><f0><U+009F><U+0087><U+00BA><f0><U+009F><U+0087><U+00B8><f0><U+009F><U+0087><U+00BA><f0><U+009F><U+0087><U+00B8> # Redwave coming.
Our President is a very intelligent man! I don't think that they will be pulling the wool over on him! I am sure his remarks are well thought about and he means what he says!
"I am so proud of this President for not telling the media everything he is going to do. There is very much a need for the element of surprise...
Thank you Mr. President."
Dems are scared to death Putin will release info on Hillary illegally selling Russia 20% of US uranium for a $150 million personal profit
Finally a president we can be proud of! We had eight years of disappointment! Proud of our president I am proud of our country<U+2764><U+FE0F>
WI Deplorable proud of my President!! Does what all other before him NEVER did.. He's breaking new ground all over the World. We are FINALLY respected again!! <f0><U+009F><U+0087><U+00BA><f0><U+009F><U+0087><U+00B8>
"May God continue to guide and protect our President, to make the best decision for our country and the world! Bless our President!"
WE WANT CLINTON AND OBAMA IN JAIL FOR TREASON
Neither leader looks particularly comfortable now this setting.
The Russians that interfered with our election was our own Democratic Party and their illegal votes! That’s why they don’t want to allow photoID to vote!
But liberals are ok with obama saying tell putin I will have more flexibility after the election <f0><U+009F><U+00A4><U+00AF>talk about interfering
What about all the illegals being brought here to vote for democrats? Isn't that considered foreign collusion?
There’s more evidence that the democrats rigged ballot boxes with illegal votes than Russia and yet they lost.
Democrats wouldn’t be happy even if Jesus Christ himself was here...oh wait Socialists don’t believe in God. Never mind
One of the Greatest Presidents of all time God continue to bless him
"Lol, The Russian President just admitted to Collusion with the Democrats!!!   Take that you Snowflakes!!!!!!"
There's nothing wrong with getting along. I am glad this is taking place.
Obama the most CORRUPT POTUS IN US HISTORY
"""I would rather take a political risk in pursuit of peace.  Than to risk peace, in pursuit of politics. "".  Wow... Great words..."
Finally after eight years a President who can get the job done  and has the right people to Make America Great Again ! <f0><U+009F><U+0087><U+00BA><f0><U+009F><U+0087><U+00B8> Thank God Hillary is not our President
We don’t need reset buttons. We have a President that gets things done without all the BS. Strength not weakness.
Translator just said they watch Maxine Waters for comic relief and when will her and pulosi be going on road together as a comedy act
This is Historical ! It is more than any politician in my lifetime ever attempted to achieve !! Conversation is the start of peace for all !
OMG love seeing all you ladies on here...OUR great President will win 99% of the female vote in 2020 !!!
No one BELIEVES THE DEM BS
The United States should always be talking to our enemies. How else will we be able to talk peace? Because paying a country $150 Billion does NOT work!!!
"Geez, the reporters can't seem to get beyond the supposed Russian collusion.  Get over it and ask some questions that are worthy of this meeting!"
No Russian was in the booth with me
"Oh our President is GREAT! God gave us an awesome President to save America through Him. God Bless him MIGHTLY! 
TRUST THE PLAN! #QAnon #TheGreatAwakening HAS BEGUN!   Q"
Comical to watch liberal heads explode<f0><U+009F><U+0098><U+0082><f0><U+009F><U+00A4><U+00A3> More WINNING!!
"Yes never in history, has a POS President, had a public meeting with the dictator he colluded with.. Truly groundbreaking day in American history.."
<U+2764><U+2764>    This President  loves  America  and her people <U+2764><U+2764><U+2764><U+2764>
God bless America and Our first REAL President in many many years!!!!
If we don't work with Russia and interface with them we are at a loss because Russia is going forward and will influence without us and out relationship wil help us to influence them
Putin hits a home run against the US media and backs up our President relative to Russian collusion.
"Show of hands, if you think this is far better than.. ""lets push a reset button ""!!! We now have a true leader of our country."
"If Democrats are so hooked on collusion, I have a thought...lets go back to paper ballots!  Then no magic distant collusion buttons can touch them!"
I can not believe what just came out of the President of the United States mouth. This is beyond an “apology tour.” This is appalling.
Soros Globalism is falling apart before our eyes
Its crazy to think that Russia had something to do with our election <f0><U+009F><U+0097><U+00B3>.  Another lie Democrats wants us to believe..
"Mrs. Clinton What kind of assault weapons were we funneling through Benghazi, and where were we sending them before Ambassador Stevens was murdered?"
Love him or hate him got to admit that he is the first President in a long while that is done buying the worlds love and has shown that we are still a super power.
"Very proud of our president. Despite what the left says, I am educated and I have a college/university degree."
