commnets
I totally agree with you Anderson this President MUST GO! A total disgrace! Anyone with a brain knew that when he was elected! A sad day for American Democracy!
"Russian mafia at its best!!  Congrats Republicans we are now hostages to Putin, including your president!!!!!!"
"Donald Trump looked at the cameras and specifically asked Russia to obtain his opponents' emails. Russia did exactly as Trump requeted. That is collusion.

Then today, Trump threw American intelligence agencies under the bus and deferred to the foreign head of state responsible for responding to Trump's request to hack emails. That is treason."
"If any true American Patriots exist in the Republican Party - now is the time to indict, impeach and incarcerate!"
"Thank you Anderson, you‚Äôre absolutely correct!  But yet his base is applauding it and the congress is mute"
When the President of the United States doesn't side with The United States.. something is definitely wrong with this pictureÌ†æÌ¥î
"Treason .
Whoever, owing allegiance to the United States, levies war against them or adheres to their enemies, giving them aid and comfort within the United States or elsewhere, is guilty of treason and shall suffer death, or shall be imprisoned not less than five years and fined under this title but not less than $10,000; and shall be incapable of holding any office under the United States.

(June 25, 1948, ch. 645, 62 Stat. 807; Pub. L. 103‚Äì322, title XXXIII, ¬ß 330016(2)(J), Sept. 13, 1994, 108"
Trump orders the American citizens to denounce our intelligence agencies and the free press. Trump orders the American citizens to embrace Putin and to fully trust this dictator who has starved and murdered his own people. Trump will soon follow Putin's blueprint as to how to rule a country.
"Sad that our President chose to insult 850,000 intelligence personnel in our nation, so he could please Putin.

Trump has met the Russian objectives so far in our nation:
1) Make our NATO allies our enemies
2) De legitimize our security forces, FBI, CIA, NSA, ETC
3) De legitimize our free press
4) De legitimize our court systems
5) De legitimize people seeking asylum
6) De legitimize our election system"
Hey tRumpsters what happened to make America Great again??? Trump just sided with Russia over the USA Ì†ºÌ∑∫Ì†ºÌ∑∏ and our intelligence n law enforcement
I don't think I have ever watched something more chickenshit than Trump rolling over for Putin and betraying his own country. This is the best leadership the US can offer up?????
"When are Americans going to demand this man out of office, he is committing treason and we as Americans are letting him do this, surely this has to wobble the base a little, since when has America ever done any of the things to Russia, we can't feel sorry for them and if Trump shame us as a nation he needs to be out of office"
"I am thoroughly embarrassed that our country that was once great is now a laughing stock. All these people that continue to support Trump after the mockery of a press conference should he ashamed. Only a clueless person would support him. I could have sworn this was a democracy but clearly the fact that people are okay with a president bowing down to Russia means the state of America is at its  weakest point. Still bringing up Hillary after facts continue to point to Russia interference in our election.  I guess these sad people will still support him through impeachment.  Wake up people, everyone can finally see how this coubtry has been set back many years. Great job Republicans"
"Putins puppet, a mole in our beautiful white house. A disgrace to our country. The most unpatriotic lying, maniac, narrcisstes sociopath, human being trying to lead our country right to hell"
"Thank you Anderson Cooper!! Benedict Donald is killing our country and our rights are slowly being taken away. 
This con artist Devil Russian puppet is so unstable it's scary!"
Let's pass legislation for phychiatric & IQ evaluation for future candidates for president. Because ladies and gents we have a bonified moron for a president. Embarrassing & pathetic.
"He has got to go.  We can not allow a traitor in our White House. Republican Senators better get some kuhunas and defend our country, democracy, the voters, and our intelligence community.   Pick a side. Party or country? Russia or the U.S.?"
"WOW... did everyone see it today? The most powerful man in the world... the leader of the United States of America on the same stage, standing right next to Donald Trump... did you see it?"
"I don't believe anything the President says anymore, he's been caught in so many open lies. And before you start spewing your hate let me say this. I believe in Republican values, religious freedom, gun ownership, and I'm  fiscally conservative. But this administration is something different, I fear for the future of this country."
"All the conservatives who love Trump ... historically your hero has been Reagan, who would be APPALLED at this treason. What are you thinking??"
It‚Äôs clear that Trump is in bed with Putin.  He must be impeached.  He agreed Putin didn‚Äôt interfere and all intelligence says the Russians did.  Now who do you believe.  An act of treason needs to be handled as impeachable.
Putin the real president of the United States bend trump over in front rmt of millions!!!.. I hope all the uneducated trump supporters are happy now!!...and they should bend over for their true president putin!!!
"Treasonous, traitor, anyone else would have been impeached.  Are there any American patriots left in office??  Yes, I know, I hear the crickets too.....Ì†æÌ¥¢"
Shame on you Anderson you warmonger.  You  and the far left are trying to start a war with Russia u blood thirsty SOBs
"Sadly, he doesn't care..his supporters don't care and the Republican Party could care less, since they are all making money on this and they are all the future holders of the new Republican Oligarchy ."
We are on a collision path with Trump!! Feel sorry for his performance today! He is up to something!!! Congress needs to step up and earn their pay!  Shameful what he's getting away with.
LOCK HIM UP !!! TREASON !!!  He better NEVER put his hand over his heart and pledge allegiance to the UNITED STATES AGAIN !!  I cannot believe that he isn't being handcuffed as we speak !!
