"x"
"At this point in any American's life, if you know anyone that still supports the biggest traitor to ever hold office in our country-Trump. 
One must evaluate one's own character on why they surround themselves with those that hate our country so much in these dire times and self-reflect on why they failed themselves in discerning those of lacking in dignity and character in their lives.

If you know people that would rather support a treasonous criminal than have support for our own people, country and our constitution, that speaks volumes about yourself. 

Proud of myself for not knowing one soul that would trade in patriotism for this treasonous conman. 

#mymommadidgood"
"Do I believe Putin or the American intelligence community? Decisions, decision...
I think I'll go with the intelligence guys."
"Shame on GOP to continue supporting this Putin's puppet! get these buffoons out next election! Country, dignity, honor, integrity  first over party!"
"Let's pass on that invitation. In this country criminals are not allowed to participate in the investigation of their crimes."
"Trump cowered like a whimpering dog today after he sniffed Putin's butt."
"This is a Red Dawn for our country. You will wake up some morning with Russian tanks on your home town street. Russia has one thing on their mind - -  world domination."
"President Trump made it clear to Russia that America is his primary concern and that American workers can and will compete to win business contracts in Europe. President Trump made it clear to the world that he will not allow Russia to jeopardize American interest. Liberals want America to fail for purely political reasons. President Trump continues to WIN not for himself, but for those patriots, law abiding, and hard working Americans that voted for him. Those still against President Trump at this point are ignoring the tangible benefits of his Presidency and the rise in American power and influence around the world. Long live the President; long live President Trump."
"text ""RESIST"" to 50409 and follow simple instructions to send a letter, fax or text to your Congresspeople.
Takes about 2 minutes.."
"What a new low for the good of our nation. Trump sounded more like our foe than president."
"Even the republicans (who can read & write) are pissed. <f0><U+009F><U+00A4><U+00A3>"
"If you are not outraged about todays events, then please do not tell me how much you love and respect your country, flag, our troops, our constitution."
"Why isn’t any media group paying attention to what Trump said that the U.S. and Russia own 90% of nuclear power in the world!!!!!!!!!!  WTH did he toss that in to the conversation????  <f0><U+009F><U+0098><U+00A1><f0><U+009F><U+0098><U+00A1><f0><U+009F><U+0098><U+00A1><f0><U+009F><U+0098><U+00A1><f0><U+009F><U+0098><U+00A1><f0><U+009F><U+0098><U+00A1><f0><U+009F><U+0098><U+00A1>"
"It’s so cute how he defends Putin’s denial... reminded me of when my kids were small and denied doing something and one backed up the other, it was adorable to see them working together as a team.<f0><U+009F><U+0098><U+0089>"
"so Trump wants to work with Putin regarding the meddling in the election.  all i can do is shake my head in disgust."
"Bravo to both of you . We can work together to investigate this whole mess . Let’s see the conclusions . You know that’s about to happen ."
"Wasn’t he just criticizing Obama for being weak on Russia? Then, given his chance to be the tough guy he so desperately wants to be, he just rolls over and shows his belly... #traitor"
"So the kid took from the cookie jar and said over and over I didn’t!!! So you believe even though the crumbs are on his hands?!"
"Well that'll work out well Trump instead of you having to call him couple three times a day giveaway secrets you can he can have direct access. I guess that's why you're a stable genius. And you also shows why you got elected With a Little Help from your friends."
"This is akin to asking a US DA to have his investigators work with the criminal's lawyers to ascertain what happened!  I am pretty certain the criminal benefits in that case, but of course, I am not a stable genius."
"Imagine, US investigators working with Russian investigators on how Russia interfered with the US elections..<f0><U+009F><U+00A4><U+0094> And I’m sure they’d be perfectly safe collaborating in Russia..<f0><U+009F><U+0099><U+0084><f0><U+009F><U+0099><U+0088>"
"""My people came to me, Dan Coats came to me, some others, they said they think it's Russia,"" Trump said, referring to the Director of National Intelligence. ""I have President Putin. He just said it's not Russia. I will say this, I don't see any reason why it would be."" Here it is from his own mouth.  HIS PEOPLE came to him, and he refused to believe them."
"In other words, let's let him know the sources and methods we used to figure out when and how they were meddling. Seems like a stupid idea that this fool will embrace"
"This blithering fool is causing more damage every single day he is President.  Please nrighbours to the south impeach this bigot. Canadians are your friends let us sleep peacefully at night."
"This presser and meeting was cringing to watch........ This meeting never should’ve happened, these DICKtatorsInChiefs deserve each other......."
"Are we back to the US-Russia joint cyber security crap again? Even Putin is stupid if anyone in the US would fall for that."
"Is this Trump's way of making america great again? Is this what ya'll wanted when you supported and voted for this guy? I can't believe this guy is still representing our country!"
"An incredible offer all right....to find out what information our investigators have against Russia."
"Is this moron for real? It's surreal what comes out of his mouth...hoping someone slipped the stuff they're trying to kill agents with into his KFC."
"Yes he was strong and powerful that you look even more small and insignificant. Wow Putin laughed at your face and all of us. You are an inept with a vocabulary of a 5 year old child. <f0><U+009F><U+0098><U+00A1><f0><U+009F><U+0098><U+00A4>"
"Yep.!  Don’t drink their water!  Putin has issued a double dog dare!  Such child’s play!  That’s not how this should be handled! Crooked dtrump-baby is thinking about his spin on this summit and the farce he carried out with the UN-one!  IF!  We’re in for a sickening election seasons now and 2020!  Vote Am3rKan!  I think I’ll just take a knee!"
